source_id,time,filter,mag
S251112cm_100Mpc,0.1,g,23.849812976464754
S251112cm_100Mpc,0.1,i,23.785015579191295
S251112cm_100Mpc,0.1,r,23.294756066017147
S251112cm_100Mpc,0.1,u,24.18796532238286
S251112cm_100Mpc,0.1,y,24.917386102201732
S251112cm_100Mpc,0.1,z,24.468796857337516
S251112cm_100Mpc,0.2,g,22.81710762894934
S251112cm_100Mpc,0.2,i,23.377224880265977
S251112cm_100Mpc,0.2,r,22.411251136154366
S251112cm_100Mpc,0.2,u,23.308611259214032
S251112cm_100Mpc,0.2,y,24.39904209021798
S251112cm_100Mpc,0.2,z,23.46370404221981
S251112cm_100Mpc,0.30000000000000004,g,21.53148702780802
S251112cm_100Mpc,0.30000000000000004,i,21.723418432862964
S251112cm_100Mpc,0.30000000000000004,r,21.068390538214764
S251112cm_100Mpc,0.30000000000000004,u,22.439692556317983
S251112cm_100Mpc,0.30000000000000004,y,22.59663942077838
S251112cm_100Mpc,0.30000000000000004,z,21.853510756553586
S251112cm_100Mpc,0.4,g,19.793765789417044
S251112cm_100Mpc,0.4,i,20.080682014309648
S251112cm_100Mpc,0.4,r,19.731052026553982
S251112cm_100Mpc,0.4,u,20.541974104914885
S251112cm_100Mpc,0.4,y,20.732582472732915
S251112cm_100Mpc,0.4,z,20.201795058446315
S251112cm_100Mpc,0.5,g,19.565219428002656
S251112cm_100Mpc,0.5,i,19.795754994447794
S251112cm_100Mpc,0.5,r,19.52488677523123
S251112cm_100Mpc,0.5,u,20.288878093992597
S251112cm_100Mpc,0.5,y,20.264608075927192
S251112cm_100Mpc,0.5,z,20.00813841581996
S251112cm_100Mpc,0.6,g,18.957421734701484
S251112cm_100Mpc,0.6,i,19.096991981537975
S251112cm_100Mpc,0.6,r,18.839964361545924
S251112cm_100Mpc,0.6,u,19.803975757095802
S251112cm_100Mpc,0.6,y,19.371089093525175
S251112cm_100Mpc,0.6,z,19.3197901692548
S251112cm_100Mpc,0.7000000000000001,g,18.79845938766352
S251112cm_100Mpc,0.7000000000000001,i,18.87800218840635
S251112cm_100Mpc,0.7000000000000001,r,18.62877487583391
S251112cm_100Mpc,0.7000000000000001,u,19.66231094597913
S251112cm_100Mpc,0.7000000000000001,y,19.06804848555732
S251112cm_100Mpc,0.7000000000000001,z,19.09889937899647
S251112cm_100Mpc,0.8,g,18.64764175715098
S251112cm_100Mpc,0.8,i,18.56203267121188
S251112cm_100Mpc,0.8,r,18.394705689910424
S251112cm_100Mpc,0.8,u,19.597180234553242
S251112cm_100Mpc,0.8,y,18.704350280902087
S251112cm_100Mpc,0.8,z,18.758748698883068
S251112cm_100Mpc,0.9,g,18.60531468527381
S251112cm_100Mpc,0.9,i,18.44721135795907
S251112cm_100Mpc,0.9,r,18.329828764645583
S251112cm_100Mpc,0.9,u,19.607250628196645
S251112cm_100Mpc,0.9,y,18.60436229040145
S251112cm_100Mpc,0.9,z,18.673555116502094
S251112cm_100Mpc,1.0,g,18.579756539493665
S251112cm_100Mpc,1.0,i,18.33851904037179
S251112cm_100Mpc,1.0,r,18.265784804185536
S251112cm_100Mpc,1.0,u,19.647592002942467
S251112cm_100Mpc,1.0,y,18.501010039240533
S251112cm_100Mpc,1.0,z,18.56952733719087
S251112cm_100Mpc,1.1,g,18.601326844370767
S251112cm_100Mpc,1.1,i,18.29080300304975
S251112cm_100Mpc,1.1,r,18.23333102028956
S251112cm_100Mpc,1.1,u,19.740342519751355
S251112cm_100Mpc,1.1,y,18.40500200643359
S251112cm_100Mpc,1.1,z,18.491720643898717
S251112cm_100Mpc,1.2000000000000002,g,18.6427656031176
S251112cm_100Mpc,1.2000000000000002,i,18.247558929762583
S251112cm_100Mpc,1.2000000000000002,r,18.220682023290237
S251112cm_100Mpc,1.2000000000000002,u,19.87421424302517
S251112cm_100Mpc,1.2000000000000002,y,18.268882323132253
S251112cm_100Mpc,1.2000000000000002,z,18.40048980470447
S251112cm_100Mpc,1.3000000000000003,g,18.675962424606432
S251112cm_100Mpc,1.3000000000000003,i,18.202472758554972
S251112cm_100Mpc,1.3000000000000003,r,18.211448281783916
S251112cm_100Mpc,1.3000000000000003,u,19.999939733239216
S251112cm_100Mpc,1.3000000000000003,y,18.15070003840753
S251112cm_100Mpc,1.3000000000000003,z,18.316403244378478
S251112cm_100Mpc,1.4000000000000001,g,18.7202634615521
S251112cm_100Mpc,1.4000000000000001,i,18.18721519976407
S251112cm_100Mpc,1.4000000000000001,r,18.22019915016663
S251112cm_100Mpc,1.4000000000000001,u,20.14586471089953
S251112cm_100Mpc,1.4000000000000001,y,18.078667815702524
S251112cm_100Mpc,1.4000000000000001,z,18.249393790140996
S251112cm_100Mpc,1.5000000000000002,g,18.793710140532298
S251112cm_100Mpc,1.5000000000000002,i,18.18824742888779
S251112cm_100Mpc,1.5000000000000002,r,18.247602902714057
S251112cm_100Mpc,1.5000000000000002,u,20.340310932141936
S251112cm_100Mpc,1.5000000000000002,y,18.030814683050828
S251112cm_100Mpc,1.5000000000000002,z,18.194067729899377
S251112cm_100Mpc,1.6,g,18.8852839454624
S251112cm_100Mpc,1.6,i,18.195997177674073
S251112cm_100Mpc,1.6,r,18.28388525054
S251112cm_100Mpc,1.6,u,20.57909380736134
S251112cm_100Mpc,1.6,y,17.99982195424441
S251112cm_100Mpc,1.6,z,18.169942271746546
S251112cm_100Mpc,1.7000000000000002,g,18.996646762871155
S251112cm_100Mpc,1.7000000000000002,i,18.21263572757232
S251112cm_100Mpc,1.7000000000000002,r,18.335206352594405
S251112cm_100Mpc,1.7000000000000002,u,20.82615825555809
S251112cm_100Mpc,1.7000000000000002,y,17.97416988516587
S251112cm_100Mpc,1.7000000000000002,z,18.175539538702324
S251112cm_100Mpc,1.8000000000000003,g,19.119092358424716
S251112cm_100Mpc,1.8000000000000003,i,18.23798352621018
S251112cm_100Mpc,1.8000000000000003,r,18.40007047734715
S251112cm_100Mpc,1.8000000000000003,u,21.016702388397484
S251112cm_100Mpc,1.8000000000000003,y,17.94938764890781
S251112cm_100Mpc,1.8000000000000003,z,18.19742733168852
S251112cm_100Mpc,1.9000000000000001,g,19.230285609248362
S251112cm_100Mpc,1.9000000000000001,i,18.26513473474497
S251112cm_100Mpc,1.9000000000000001,r,18.46087216410697
S251112cm_100Mpc,1.9000000000000001,u,21.162930742131337
S251112cm_100Mpc,1.9000000000000001,y,17.93812197352172
S251112cm_100Mpc,1.9000000000000001,z,18.220795023275578
S251112cm_100Mpc,2.0,g,19.33393586033621
S251112cm_100Mpc,2.0,i,18.306767301181836
S251112cm_100Mpc,2.0,r,18.524230954252648
S251112cm_100Mpc,2.0,u,21.305798454986558
S251112cm_100Mpc,2.0,y,17.95399621925166
S251112cm_100Mpc,2.0,z,18.253615059329483
S251112cm_100Mpc,2.1,g,19.451480160420843
S251112cm_100Mpc,2.1,i,18.38126687876048
S251112cm_100Mpc,2.1,r,18.61146439943299
S251112cm_100Mpc,2.1,u,21.462668606527004
S251112cm_100Mpc,2.1,y,17.999023333013184
S251112cm_100Mpc,2.1,z,18.31032402240197
S251112cm_100Mpc,2.2,g,19.59126276180723
S251112cm_100Mpc,2.2,i,18.483410871821754
S251112cm_100Mpc,2.2,r,18.723146153569672
S251112cm_100Mpc,2.2,u,21.64127213396946
S251112cm_100Mpc,2.2,y,18.063371102414017
S251112cm_100Mpc,2.2,z,18.39055497767249
S251112cm_100Mpc,2.3000000000000003,g,19.73699638718375
S251112cm_100Mpc,2.3000000000000003,i,18.582957865406243
S251112cm_100Mpc,2.3000000000000003,r,18.834797868425436
S251112cm_100Mpc,2.3000000000000003,u,21.829493087237864
S251112cm_100Mpc,2.3000000000000003,y,18.126552058427663
S251112cm_100Mpc,2.3000000000000003,z,18.472875776755224
S251112cm_100Mpc,2.4000000000000004,g,19.885777843190105
S251112cm_100Mpc,2.4000000000000004,i,18.67327706804062
S251112cm_100Mpc,2.4000000000000004,r,18.94380820219021
S251112cm_100Mpc,2.4000000000000004,u,22.017604193534282
S251112cm_100Mpc,2.4000000000000004,y,18.183471592456424
S251112cm_100Mpc,2.4000000000000004,z,18.551093662828524
S251112cm_100Mpc,2.5000000000000004,g,20.044309121528407
S251112cm_100Mpc,2.5000000000000004,i,18.768181862415055
S251112cm_100Mpc,2.5000000000000004,r,19.06468420783758
S251112cm_100Mpc,2.5000000000000004,u,22.209259471805783
S251112cm_100Mpc,2.5000000000000004,y,18.244490724251555
S251112cm_100Mpc,2.5000000000000004,z,18.637482214561402
S251112cm_100Mpc,2.6,g,20.21064879344581
S251112cm_100Mpc,2.6,i,18.875885988954202
S251112cm_100Mpc,2.6,r,19.205228203115833
S251112cm_100Mpc,2.6,u,22.404699493803484
S251112cm_100Mpc,2.6,y,18.313842707589817
S251112cm_100Mpc,2.6,z,18.73661415847318
S251112cm_100Mpc,2.7,g,20.374201323892137
S251112cm_100Mpc,2.7,i,18.99142186388902
S251112cm_100Mpc,2.7,r,19.3578545937388
S251112cm_100Mpc,2.7,u,22.589596381953054
S251112cm_100Mpc,2.7,y,18.38414023247939
S251112cm_100Mpc,2.7,z,18.837943054913552
S251112cm_100Mpc,2.8000000000000003,g,20.52736941065198
S251112cm_100Mpc,2.8000000000000003,i,19.10362066874959
S251112cm_100Mpc,2.8000000000000003,r,19.50663635941879
S251112cm_100Mpc,2.8000000000000003,u,22.751215245517635
S251112cm_100Mpc,2.8000000000000003,y,18.448570590857674
S251112cm_100Mpc,2.8000000000000003,z,18.929562400188534
S251112cm_100Mpc,2.9000000000000004,g,20.670354948911598
S251112cm_100Mpc,2.9000000000000004,i,19.20661850200497
S251112cm_100Mpc,2.9000000000000004,r,19.64170774652223
S251112cm_100Mpc,2.9000000000000004,u,22.89028519087719
S251112cm_100Mpc,2.9000000000000004,y,18.50714149696233
S251112cm_100Mpc,2.9000000000000004,z,19.007998181669794
S251112cm_100Mpc,3.0000000000000004,g,20.808348220416544
S251112cm_100Mpc,3.0000000000000004,i,19.30393065907376
S251112cm_100Mpc,3.0000000000000004,r,19.765261381349426
S251112cm_100Mpc,3.0000000000000004,u,23.01813068812941
S251112cm_100Mpc,3.0000000000000004,y,18.56446643103257
S251112cm_100Mpc,3.0000000000000004,z,19.07782043396094
S251112cm_100Mpc,3.1,g,20.94361887620886
S251112cm_100Mpc,3.1,i,19.399598797983778
S251112cm_100Mpc,3.1,r,19.881662659261394
S251112cm_100Mpc,3.1,u,23.14385372657658
S251112cm_100Mpc,3.1,y,18.62335526956256
S251112cm_100Mpc,3.1,z,19.144532528836994
S251112cm_100Mpc,3.2,g,21.070585921583096
S251112cm_100Mpc,3.2,i,19.49053245839645
S251112cm_100Mpc,3.2,r,19.988589634376154
S251112cm_100Mpc,3.2,u,23.264930800860288
S251112cm_100Mpc,3.2,y,18.68073745730252
S251112cm_100Mpc,3.2,z,19.209458222804656
S251112cm_100Mpc,3.3000000000000003,g,21.18465629899787
S251112cm_100Mpc,3.3000000000000003,i,19.572712691439477
S251112cm_100Mpc,3.3000000000000003,r,20.083078780324445
S251112cm_100Mpc,3.3000000000000003,u,23.376667080454133
S251112cm_100Mpc,3.3000000000000003,y,18.733337062914277
S251112cm_100Mpc,3.3000000000000003,z,19.272651977877302
S251112cm_100Mpc,3.4000000000000004,g,21.289873162895752
S251112cm_100Mpc,3.4000000000000004,i,19.64802055812325
S251112cm_100Mpc,3.4000000000000004,r,20.168379149203474
S251112cm_100Mpc,3.4000000000000004,u,23.482005421256552
S251112cm_100Mpc,3.4000000000000004,y,18.7830051337717
S251112cm_100Mpc,3.4000000000000004,z,19.336449528136747
S251112cm_100Mpc,3.5000000000000004,g,21.39318997769164
S251112cm_100Mpc,3.5000000000000004,i,19.72062376122055
S251112cm_100Mpc,3.5000000000000004,r,20.24995574022958
S251112cm_100Mpc,3.5000000000000004,u,23.586242695409293
S251112cm_100Mpc,3.5000000000000004,y,18.8334678792787
S251112cm_100Mpc,3.5000000000000004,z,19.40345948493537
S251112cm_100Mpc,3.6,g,21.49631266930818
S251112cm_100Mpc,3.6,i,19.791551912537948
S251112cm_100Mpc,3.6,r,20.32941191545712
S251112cm_100Mpc,3.6,u,23.689586163298383
S251112cm_100Mpc,3.6,y,18.885572855347583
S251112cm_100Mpc,3.6,z,19.47290446733318
S251112cm_100Mpc,3.7,g,21.59434401857178
S251112cm_100Mpc,3.7,i,19.85793214644165
S251112cm_100Mpc,3.7,r,20.403595206070385
S251112cm_100Mpc,3.7,u,23.78668135413195
S251112cm_100Mpc,3.7,y,18.936537711962387
S251112cm_100Mpc,3.7,z,19.54015481800097
S251112cm_100Mpc,3.8000000000000003,g,21.68302001987773
S251112cm_100Mpc,3.8000000000000003,i,19.917529494204956
S251112cm_100Mpc,3.8000000000000003,r,20.470074573221687
S251112cm_100Mpc,3.8000000000000003,u,23.873728049989396
S251112cm_100Mpc,3.8000000000000003,y,18.983901691301202
S251112cm_100Mpc,3.8000000000000003,z,19.601409251159772
S251112cm_100Mpc,3.9000000000000004,g,21.764556710239415
S251112cm_100Mpc,3.9000000000000004,i,19.972294994624463
S251112cm_100Mpc,3.9000000000000004,r,20.53145752969319
S251112cm_100Mpc,3.9000000000000004,u,23.95368994415645
S251112cm_100Mpc,3.9000000000000004,y,19.028747503761164
S251112cm_100Mpc,3.9000000000000004,z,19.657417357304727
S251112cm_100Mpc,4.0,g,21.845138581899036
S251112cm_100Mpc,4.0,i,20.026678190139368
S251112cm_100Mpc,4.0,r,20.593315753531
S251112cm_100Mpc,4.0,u,24.03342860092373
S251112cm_100Mpc,4.0,y,19.074390331779057
S251112cm_100Mpc,4.0,z,19.71177867082098
S251112cm_100Mpc,4.1,g,21.92957159386627
S251112cm_100Mpc,4.1,i,20.0841261275233
S251112cm_100Mpc,4.1,r,20.65988505857802
S251112cm_100Mpc,4.1,u,24.11801976775933
S251112cm_100Mpc,4.1,y,19.12339032987655
S251112cm_100Mpc,4.1,z,19.76749734395453
S251112cm_100Mpc,4.2,g,22.01819612877455
S251112cm_100Mpc,4.2,i,20.144986001718504
S251112cm_100Mpc,4.2,r,20.73147379434495
S251112cm_100Mpc,4.2,u,24.207245978411247
S251112cm_100Mpc,4.2,y,19.17563025659382
S251112cm_100Mpc,4.2,z,19.825066608760878
S251112cm_100Mpc,4.3,g,22.107330896043045
S251112cm_100Mpc,4.3,i,20.206760477573525
S251112cm_100Mpc,4.3,r,20.804802230330825
S251112cm_100Mpc,4.3,u,24.29613713053773
S251112cm_100Mpc,4.3,y,19.228468450719518
S251112cm_100Mpc,4.3,z,19.882687606065243
S251112cm_100Mpc,4.3999999999999995,g,22.192573319636555
S251112cm_100Mpc,4.3999999999999995,i,20.266382187593425
S251112cm_100Mpc,4.3999999999999995,r,20.87585933701049
S251112cm_100Mpc,4.3999999999999995,u,24.37908249792515
S251112cm_100Mpc,4.3999999999999995,y,19.278831281279686
S251112cm_100Mpc,4.3999999999999995,z,19.938079174085804
S251112cm_100Mpc,4.5,g,22.271856292478788
S251112cm_100Mpc,4.5,i,20.32236246746225
S251112cm_100Mpc,4.5,r,20.942605233595998
S251112cm_100Mpc,4.5,u,24.4536735494952
S251112cm_100Mpc,4.5,y,19.325243286231753
S251112cm_100Mpc,4.5,z,19.990161457427917
S251112cm_100Mpc,4.6,g,22.345920728478827
S251112cm_100Mpc,4.6,i,20.375132948179903
S251112cm_100Mpc,4.6,r,21.005393138518965
S251112cm_100Mpc,4.6,u,24.52122658351803
S251112cm_100Mpc,4.6,y,19.368135438031313
S251112cm_100Mpc,4.6,z,20.03932514715097
S251112cm_100Mpc,4.7,g,22.417092203769275
S251112cm_100Mpc,4.7,i,20.42617567652113
S251112cm_100Mpc,4.7,r,21.06588448829538
S251112cm_100Mpc,4.7,u,24.58510602818365
S251112cm_100Mpc,4.7,y,19.40899066460156
S251112cm_100Mpc,4.7,z,20.08680051562291
S251112cm_100Mpc,4.8,g,22.48806682060219
S251112cm_100Mpc,4.8,i,20.477182950091652
S251112cm_100Mpc,4.8,r,21.12599969706799
S251112cm_100Mpc,4.8,u,24.64910314416997
S251112cm_100Mpc,4.8,y,19.44950521939613
S251112cm_100Mpc,4.8,z,20.13400260072707
S251112cm_100Mpc,4.9,g,22.56119736006329
S251112cm_100Mpc,4.9,i,20.52958690290952
S251112cm_100Mpc,4.9,r,21.18734887221292
S251112cm_100Mpc,4.9,u,24.71649645536348
S251112cm_100Mpc,4.9,y,19.491138374125853
S251112cm_100Mpc,4.9,z,20.182165211287067
S251112cm_100Mpc,5.0,g,22.637999143886752
S251112cm_100Mpc,5.0,i,20.584265344284894
S251112cm_100Mpc,5.0,r,21.25090894956303
S251112cm_100Mpc,5.0,u,24.789433597996553
S251112cm_100Mpc,5.0,y,19.534836258435664
S251112cm_100Mpc,5.0,z,20.232067419940268
S251112cm_100Mpc,5.1,g,22.71865172201752
S251112cm_100Mpc,5.1,i,20.641254835281377
S251112cm_100Mpc,5.1,r,21.316715088413844
S251112cm_100Mpc,5.1,u,24.86831866215736
S251112cm_100Mpc,5.1,y,19.58076954286896
S251112cm_100Mpc,5.1,z,20.28377031741647
S251112cm_100Mpc,5.2,g,22.801687374288754
S251112cm_100Mpc,5.2,i,20.699573273098856
S251112cm_100Mpc,5.2,r,21.3836811929161
S251112cm_100Mpc,5.2,u,24.95144907876875
S251112cm_100Mpc,5.2,y,19.628182384672435
S251112cm_100Mpc,5.2,z,20.33644611448203
S251112cm_100Mpc,5.3,g,22.88429851215867
S251112cm_100Mpc,5.3,i,20.757416359789858
S251112cm_100Mpc,5.3,r,21.449818462266457
S251112cm_100Mpc,5.3,u,25.03540394931982
S251112cm_100Mpc,5.3,y,19.675560033870152
S251112cm_100Mpc,5.3,z,20.38854035715844
S251112cm_100Mpc,5.4,g,22.963341069522752
S251112cm_100Mpc,5.4,i,20.812770292347032
S251112cm_100Mpc,5.4,r,21.51293254556043
S251112cm_100Mpc,5.4,u,25.116308797358577
S251112cm_100Mpc,5.4,y,19.721183084231903
S251112cm_100Mpc,5.4,z,20.4383191109514
S251112cm_100Mpc,5.5,g,23.03655676263488
S251112cm_100Mpc,5.5,i,20.86416148482607
S251112cm_100Mpc,5.5,r,21.571446005221333
S251112cm_100Mpc,5.5,u,25.19133581216069
S251112cm_100Mpc,5.5,y,19.763786911624507
S251112cm_100Mpc,5.5,z,20.484521760671505
S251112cm_100Mpc,5.6,g,23.103261142776333
S251112cm_100Mpc,5.6,i,20.911079810886484
S251112cm_100Mpc,5.6,r,21.62487656077748
S251112cm_100Mpc,5.6,u,25.25959409917547
S251112cm_100Mpc,5.6,y,19.802952784500498
S251112cm_100Mpc,5.6,z,20.52674676048402
S251112cm_100Mpc,5.7,g,23.16432150294585
S251112cm_100Mpc,5.7,i,20.953965553319286
S251112cm_100Mpc,5.7,r,21.673818327124238
S251112cm_100Mpc,5.7,u,25.322082742336605
S251112cm_100Mpc,5.7,y,19.839095195791334
S251112cm_100Mpc,5.7,z,20.56543231443098
S251112cm_100Mpc,5.8,g,23.221673095024684
S251112cm_100Mpc,5.8,i,20.99391769993919
S251112cm_100Mpc,5.8,r,21.719619176415726
S251112cm_100Mpc,5.8,u,25.381121594951274
S251112cm_100Mpc,5.8,y,19.873210614588636
S251112cm_100Mpc,5.8,z,20.60159720574354
S251112cm_100Mpc,5.9,g,23.277779350198195
S251112cm_100Mpc,5.9,i,21.032362703404356
S251112cm_100Mpc,5.9,r,21.76400682317642
S251112cm_100Mpc,5.9,u,25.43967611689189
S251112cm_100Mpc,5.9,y,19.90658524252617
S251112cm_100Mpc,5.9,z,20.636548285557986
S251112cm_100Mpc,6.0,g,23.33516398197355
S251112cm_100Mpc,6.0,i,21.07077215299393
S251112cm_100Mpc,6.0,r,21.808768300633293
S251112cm_100Mpc,6.0,u,25.500805984091887
S251112cm_100Mpc,6.0,y,19.940547237947868
S251112cm_100Mpc,6.0,z,20.67162909184757
S251112cm_100Mpc,6.1,g,23.395995742484487
S251112cm_100Mpc,6.1,i,21.110419226257314
S251112cm_100Mpc,6.1,r,21.855446076512067
S251112cm_100Mpc,6.1,u,25.56712804899081
S251112cm_100Mpc,6.1,y,19.976227814626874
S251112cm_100Mpc,6.1,z,20.70799410078663
S251112cm_100Mpc,6.2,g,23.46165155327029
S251112cm_100Mpc,6.2,i,21.15212256012625
S251112cm_100Mpc,6.2,r,21.90502089167054
S251112cm_100Mpc,6.2,u,25.640284804707726
S251112cm_100Mpc,6.2,y,20.014330828091303
S251112cm_100Mpc,6.2,z,20.746382659823396
S251112cm_100Mpc,6.3,g,23.532339857092744
S251112cm_100Mpc,6.3,i,21.19602113922559
S251112cm_100Mpc,6.3,r,21.957623980997422
S251112cm_100Mpc,6.3,u,25.72046548809763
S251112cm_100Mpc,6.3,y,20.054910835951176
S251112cm_100Mpc,6.3,z,20.78690892888882
S251112cm_100Mpc,6.4,g,23.60699916823487
S251112cm_100Mpc,6.4,i,21.241521574818368
S251112cm_100Mpc,6.4,r,22.012466047721354
S251112cm_100Mpc,6.4,u,25.806287473637866
S251112cm_100Mpc,6.4,y,20.097321817609124
S251112cm_100Mpc,6.4,z,20.829020790595774
S251112cm_100Mpc,6.5,g,23.683691841589162
S251112cm_100Mpc,6.5,i,21.28752668505674
S251112cm_100Mpc,6.5,r,22.06811874148579
S251112cm_100Mpc,6.5,u,25.895280241225265
S251112cm_100Mpc,6.5,y,20.140434928109983
S251112cm_100Mpc,6.5,z,20.87169789731294
S251112cm_100Mpc,6.6,g,23.760392233385012
S251112cm_100Mpc,6.6,i,21.33288917405019
S251112cm_100Mpc,6.6,r,22.123101453253717
S251112cm_100Mpc,6.6,u,25.984880354795074
S251112cm_100Mpc,6.6,y,20.18307766462076
S251112cm_100Mpc,6.6,z,20.913877744541892
S251112cm_100Mpc,6.7,g,23.83576911340689
S251112cm_100Mpc,6.7,i,21.376872930633184
S251112cm_100Mpc,6.7,r,22.176457698453195
S251112cm_100Mpc,6.7,u,26.073411848197985
S251112cm_100Mpc,6.7,y,20.224477894515147
S251112cm_100Mpc,6.7,z,20.954872985436143
S251112cm_100Mpc,6.8,g,23.909554703403323
S251112cm_100Mpc,6.8,i,21.419364336479997
S251112cm_100Mpc,6.8,r,22.228028178067007
S251112cm_100Mpc,6.8,u,26.16053418840923
S251112cm_100Mpc,6.8,y,20.26446947512181
S251112cm_100Mpc,6.8,z,20.99456519686904
S251112cm_100Mpc,6.9,g,23.98241410599398
